Timestamp,Extractor_initials,Checker_initials,Checker_comment,Article_DOI,Article_title,Article_author,Article_journal,String_development_described,String_development_comment,String_development_record_provided,String_development_record_comment,String_development_seed_papers_used,String_development_seed_papers_comment,String_sensitivity_evaluation_mentioned,String_sensitivity_evaluation_mentioned_comment,String_sensitivity_evaluation_source_number,String_sensitivity_evaluation_sources_comment,String_sensitivity_test_papers_used,String_sensitivity_test_papers_comment,String_sensitivity_test_papers_terminology,String_sensitivity_test_papers_number,String_sensitivity_test_papers_sources,String_sensitivity_test_approach,Information_specialist_involved,Information_specialist_comment,General_comment,Search sources,Final_string_provided_comment,Final_string_provided,String_development_described,String_development_comment,String_development_record_provided,String_development_record_comment,String_development_seed_papers_used,String_development_seed_papers_comment
7/2/2023 7:38:48,ML,SY,,10.1002/14651858.CD015232,Tourniquet use for people with peripheral arterial disease undergoing major lower limb amputations,Laloo,Cochrane Database of Systematic Reviews,no,,no,,,,no,,,,,,,,,,yes,"""The Information Specialist devised a draft search strategy for RCTs for MEDLINE, which is displayed in Appendix 1. This will be used as the basis for search strategies for the other databases listed.""",,"ClinicalTrials.gov, Cochrane Library (CENTRAL), EbscoHost (CINAHL Plus, EconLit, ERIC, Medline), OVID (Embase/Embase Classic, PsycINFO, Medline), World Health Organization International Clinical Trials Registry Platform (who.int/trialsearch); references; conference proceedings","Appendix 1, MEDLINE",yes (exact search strategy for at least one source),,,,,,
7/3/2023 22:02:00,ML,SY,,10.1002/14651858.CD014567,Cannabis-based medicines for prevention of postoperative nausea and vomiting in adults,Stojanova,Cochrane Database of Systematic Reviews,no,,no,,,,no,,,,,,,,,,yes,"""JS developed the search strategy, together with Janne Vendt (Cochrane Information Specialist)""",,"ClinicalTrials.gov, Cochrane Library (CENTRAL), Google Scholar, OVID (Embase/Embase Classic, PsycINFO, Medline), Scopus, Web of Science (Medline, Web of Science Core Collection), The World Health Organization (WHO) International Clinical Trials Registry Platform (apps.who.int/trialsearch/);  ISRCTN (/www.isrctn.com/);  Open Grey for grey literature (opengrey.eu/); references",Appendix 1. MEDLINE,yes (exact search strategy for at least one source),,,,,,
6/25/2023 17:09:37,ML,SY,,10.1002/14651858.CD014967,Antiseizure medications for neonates with seizures,Abiramalatha,Cochrane Database of Systematic Reviews,no,"The Cochrane Neonatal Information Specialist developed a draft search strategy for OVID MEDLINE in consultation with the review authors (Appendix 1). This strategy will be peer‐reviewed by an Information Specialist using the Peer Review of Electronic Search Strategies (PRESS) checklist (McGowan 2016; McGowan 2016a). The MEDLINE strategy will be translated, using appropriate syntax, for other databases. Methodological filters will be used to limit retrieval to RCTs and quasi‐RCTs; and systematic reviews.",no,,,,no,,,,,,,,,,yes,The Cochrane Neonatal Information Specialist developed a draft search strategy for OVID MEDLINE in consultation with the review authors (Appendix 1). ,,"Cochrane Library (CENTRAL), OVID (Embase/Embase Classic, PsycINFO, Medline),  altrials.gov and WHO International Clinical Trials Registry Platform (ICTRP) (www.who.int/clinical-trials-registry-platform/the-ictrp-search-portal),  Epistemonikos (www.epistemonikos.org), societies websites, references","Appendix 1 (reported for the main databases, but not for all)",yes (exact search strategy for at least one source),,,,,,
6/25/2023 18:13:07,ML,SY,,10.1002/14651858.CD014933,Surgical (percutaneous pinning or plate fixation) versus non-surgical interventions for distal radius fractures in adults: an individual participant data review,Adie,Cochrane Database of Systematic Reviews,no,,no,,,,no,,,,,,,,,,yes,"Information Specialist (developed search strategy, advised on search methods): Maria Clarke, Information Specialist, Cochrane Bone, Joint and Muscle Trauma Group","Will use ""sensitivity‐maximising version of the Cochrane Highly Sensitive Search Strategy for identifying randomised trials (Lefebvre 2019""","ClinicalTrials.gov, Cochrane Library (CENTRAL), OVID (Embase/Embase Classic, PsycINFO, Medline), EU Clinical Trials Register;  Australian New Zealand Clinical Trials Registry;  World Health Organization International Clinical Trials Registry Platform, citations,  Database of Abstracts of Reviews of Effects (DARE), database of Health Technology Assessment (HTA), socetal websites, ProQuest Dissertations and Theses, www.opengrey.eu","Appendix 1, MEDLINE only",yes (exact search strategy for at least one source),,,,,,
6/25/2023 18:25:42,ML,SY,,10.1002/14651858.CD015042,Psychosocial and medication interventions to stop or reduce alcohol consumption during pregnancy,Agabio,Cochrane Database of Systematic Reviews,no,,no,,,,no,,,,,,,,,,no,,,"Cochrane Library (CENTRAL), EbscoHost (CINAHL Plus, EconLit, ERIC, Medline), OVID (Embase/Embase Classic, PsycINFO, Medline), Web of Science (Medline, Web of Science Core Collection), Cochrane Drugs and Alcohol Group (CDAG) Specialized Register, references, conference proceedings, contact investigators ","Appendix 1, MEDLINE",yes (exact search strategy for at least one source),,,,,,
6/25/2023 18:47:31,ML,SY,"This one was unusual, but agree with the way you extracted it!",10.1002/14651858.CD015206,"Heart failure symptoms as predictors of hospital admission, readmission and all-cause mortality",Ali,Cochrane Database of Systematic Reviews,yes,Appendix 2,no,"some details, but not clear how they arrived at this strategy: ""Prognostic search string: Geersing 2012 recommends that the Haynes broad filter and Ingui filter alongside the updated search string are validated ways of searching for prognostic studies, so we will use this updated string for our search of prognostic studies. We will also add in the search term ‘HR’ (hazard ratio), which we have found in a past systematic review of prognostic models to further surface relevant studies (Rushton 2015). 
Heart failure search string: a validated heart failure filter for searching Medline using OvidSP had been previously created (Damarell 2011), and had a recall of 97.8.% from 263 out of 269 records. It uses a combination of controlled vocabulary words and free text headings. This string will form the second part of the search. The search terms alongside relevant MeSH terms will also be used.
Outcomes search string: the final part of the search string will be for outcomes. The outcomes hospitalisation and rehospitalisation will be searched as admission and readmission incorporating American‐English spelling, both of which are controlled vocabulary. Free text words will also be used for each of the outcomes in the review. HR‐QoL was searched using the acronym “Quality of Life” as it is a MeSH term incorporating HR‐QoL. The different tools (generic: EQ‐5D, SF‐12, and SF‐36 and specific: KCCQ and MLHFQ) also formed part of the outcomes search string.
Symptoms search string: the three strings (prognosis, heart failure, and outcomes) will be combined and each symptom will be searched together with the three strings. For example, dyspnoea will be searched with prognosis, heart failure, and outcomes strings. Where databases recognise MeSH headings, these will be supplemented by further descriptors for each symptom described below.
... Finally, the word 'symptom' will be searched to capture any studies which had not explicitly mentioned either of the symptoms of interest in their abstract or title, as one study was found from surveying the literature previous to the search (Alpert 2017b). The search term 'symptom*.ti' will be used so that only titles of studies are recalled.""",,,no,,,,,,,,,,yes,"The authors also would like to thank Selina Lock and Kieth Nockels, information specialists at the University of Leicester, for their assistance in reviewing the search strategy. ",used validated search filters as part of the search string,"EbscoHost (CINAHL Plus, EconLit, ERIC, Medline), OVID (Embase/Embase Classic, PsycINFO, Medline), Web of Science (Medline, Web of Science Core Collection), citations, handsearching, reference searching, personal files","Appendix 1, MEDLINE",yes (exact search strategy for at least one source),,,,,,
6/25/2023 18:57:26,ML,SY,,10.1002/14651858.CD015060,Immunosuppressive therapy for IgA nephropathy in children,Alladin,Cochrane Database of Systematic Reviews,no,,no,,,,no,,,,,,,,,,yes,"""We will search the Cochrane Kidney and Transplant Register of Studies through contact with the Information Specialist using search terms relevant to this review.""",,"ClinicalTrials.gov, Cochrane Library (CENTRAL), OVID (Embase/Embase Classic, PsycINFO, Medline), PubMed (Medline), journals, proceedings, alerts, references, contacting researchers","Appendix 2, MEDLINE, CENTRAL, EMBASE",yes (exact search strategy for at least one source),,,,,,
6/25/2023 21:07:58,ML,SY,,10.1002/14651858.CD014426,Exercise for the treatment of anxiety in children and adolescents,Bailey,Cochrane Database of Systematic Reviews,no,,no,,,,no,,,,,,,,,,yes,"""Information Specialist (provided editorial guidance to authors, edited the article, developed searches): Sarah Dawson, University of Bristol.""",used some general search strategies available for one of the databases,"ClinicalTrials.gov, Cochrane Library (CENTRAL), EbscoHost (CINAHL Plus, EconLit, ERIC, Medline), OVID (Embase/Embase Classic, PsycINFO, Medline), Cochrane Common Mental Disorders Controlled Trials Register (CCMDCTR), WHO International Clinical Trials Registry Platform (apps.who.int/trialsearch/), Electronic Theses Online Service (EThOS) – British Library (ethos.bl.uk/Home.do);  DART – Europe e‐theses Portal (www.dart-europe.eu/basic-search.php);  Networked Digital Library of Theses and Dissertations (NDLTD) (search.ndltd.org/);  PQDT Open – open access dissertations and theses (pqdtopen.proquest.com/search.html);  ProQuest Dissertations & Theses Global (search.proquest.com/pqdtglobal/dissertations/), Open Grey, references, contacting researchers","MEDLINE, CCMDCTR",yes (exact search strategy for at least one source),,,,,,
6/25/2023 21:17:03,ML,SY,,10.1002/14651858.CD015106,Legal banning of asbestos for preventing asbestos exposure,Belackova,Cochrane Database of Systematic Reviews,no,,no,,,,no,,,,,,,,,,yes,"""We thank Julitta Boschman (Managing Editor) and Joost Daams (Information Specialist) from the Cochrane Work Review Group, for their help in all stages of the current review.""",,"Cochrane Library (CENTRAL), OVID (Embase/Embase Classic, PsycINFO, Medline), PubMed (Medline),  US Geological Survey (www.usgs.gov) and the International Ban Asbestos Secretariat (www.ibasecretariat.org), references, contacting researchers","Appendix 1, PubMed/MEDLINE",yes (exact search strategy for at least one source),,,,,,
6/26/2023 12:16:43,ML,SY,,10.1002/14651858.CD015364,Human papillomavirus (HPV) vaccination for the prevention of cervical cancer and other HPV-related diseases: a network meta-analysis,Bergman,Cochrane Database of Systematic Reviews,no,"""The Information Specialist at the Cochrane Gynaecological, Neuro‐oncology and Orphan Cancers group will design search strategies and run the searches on the core databases:""",no,,,,no,,,,,,,,,,yes,"""The Information Specialist at the Cochrane Gynaecological, Neuro‐oncology and Orphan Cancers group will design search strategies and run the searches on the core databases:""",search strategy not ready?,"ClinicalTrials.gov, Cochrane Library (CENTRAL), OVID (Embase/Embase Classic, PsycINFO, Medline), Epistemonikos: https://www.epistemonikos.org; WHO International Clinical Trials Registry Platform (ICTRP): www.who.int/clinical-trials-registry-platform;  HTA Database (Health Technology Assessments Database): www.york.ac.uk/crd/#HTA; related articles (PubMed); citing articles; handsearch of meeting abstracts, manufacturers websites; contact researchers; ",Appendix 3; MEDLINE,yes (exact search strategy for at least one source),,,,,,
